Snapshot,Week 1,Snapshot,Week 2,Snapshot,Week 3,Snapshot,Week 4,Snapshot,Week 5,Snapshot,Week 6,Snapshot,Week 7,Snapshot,Week 8,Snapshot,Week 9,Snapshot,Week 10,Address,Cumulative,,Row Labels,Sum of Cumulative,,Address,Total Weight
0x21d632e53c4961f852aa1b3de252854951f81591,620.018641,0x15b458f7af474220ca05f34c22667dc70fde017e,8155.78316,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x119b49a1c266c67656d098c320b697cc5ce94c43,3940.407158,0x119b49a1c266c67656d098c320b697cc5ce94c43,3940.407158,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,12466,0x0a3b67b88adf575654e071cf9c3e8065fc365967,0,0x0a3b67b88adf575654e071cf9c3e8065fc365967,0,0x21d632e53c4961f852aa1b3de252854951f81591,620.018641,,0x0a3b67b88adf575654e071cf9c3e8065fc365967,35400,,0xc2681d0606ebd7719040f2bc1c0fda3e9215db90,82246.60002
0x23f7c16f9d596ba80dfff3a75f18c90506ed4e8d,46.9,0x216b32757e9596579f850aef87951c0450c87947,600,0x15b458f7af474220ca05f34c22667dc70fde017e,15187.50516,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x119b49a1c266c67656d098c320b697cc5ce94c43,4073.407158,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0ac0240f4656dc80684d0df1208bb91c0220725d,0.00057,0x0ac0240f4656dc80684d0df1208bb91c0220725d,0.00057,0x23f7c16f9d596ba80dfff3a75f18c90506ed4e8d,46.9,,0x0ac0240f4656dc80684d0df1208bb91c0220725d,21448.6217,,0x8fa31e34de3809de07b181eb55f7fa8f3ff677bc,77417.156
0x2d55a5781e9972650fa4f7fc90a6250609e23333,10190.20164,0x21d632e53c4961f852aa1b3de252854951f81591,620.018641,0x1a0d3367e993fe653293cf9dbee864b1f1dcaf9a,0,0x15b458f7af474220ca05f34c22667dc70fde017e,15187.50516,0x15b458f7af474220ca05f34c22667dc70fde017e,15187.50516,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x119b49a1c266c67656d098c320b697cc5ce94c43,4073.407158,0x0c23a8f194111fcd46297ea03f28fdcf702b2927,1985,0x0b8b851724bdb0577188d247eab8d418a0baec43,1283.648,0x0b8b851724bdb0577188d247eab8d418a0baec43,1283.648,0x2d55a5781e9972650fa4f7fc90a6250609e23333,10190.20164,,0x0b8b851724bdb0577188d247eab8d418a0baec43,3850.944,,0xd6fd705ee0b31a9300d3e2154bcce777270cbb6f,69059.9373
0x374534de1dfd0b0f965600d887f452f7035ea08b,437.334304,0x22cf45f2e422e51e66c45ca9980ef3fc95875dd1,61.78607,0x1b4971a97be2c353db4afef34c81aa09f6381744,0,0x1a0d3367e993fe653293cf9dbee864b1f1dcaf9a,0,0x1a0d3367e993fe653293cf9dbee864b1f1dcaf9a,0,0x15b458f7af474220ca05f34c22667dc70fde017e,15187.50516,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x0e850de427f73fc6b472d71f0545018fbd23c165,5409,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,12466,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,12466,0x374534de1dfd0b0f965600d887f452f7035ea08b,437.334304,,0x0b988d78d6c3c30d1b4e017bde04502a40d58948,49930.00001,,0x344ceae26a587ad80999c0f6efaad68c5a98b941,66530.884
0x3a3e2323d3eb1c9bc83b953959f5e0d05104a395,1105.139996,0x23f7c16f9d596ba80dfff3a75f18c90506ed4e8d,46.9,0x216b32757e9596579f850aef87951c0450c87947,600,0x1b4971a97be2c353db4afef34c81aa09f6381744,0,0x1b4971a97be2c353db4afef34c81aa09f6381744,0,0x166800b0c45c65041152fdf3c48d87053b1ddfa3,133.904,0x13e7b3623875aa6389d05f82eb3af9776b7627a5,228.59354,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,573,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,743,0x3a3e2323d3eb1c9bc83b953959f5e0d05104a395,1105.139996,,0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,5900,,0x6c50cdecd0fe405e22bd0a2524bc6343b375b1d2,64815.76
0x3b83be3c6e8d713b7d6e25eaeda444c12eda5a9b,649.612847,0x279b70a6114381d49f35906c8ee5ccfe74025a59,1318.969662,0x21c64441279c8a47a4f9199a03d8f5c628b5810d,1756.689632,0x216b32757e9596579f850aef87951c0450c87947,600,0x216b32757e9596579f850aef87951c0450c87947,600,0x1a0d3367e993fe653293cf9dbee864b1f1dcaf9a,0,0x15b458f7af474220ca05f34c22667dc70fde017e,15187.50516,0x119a0b0ab03018460ff0f9737e0ccbcc8e5f345a,2202,0x0c23a8f194111fcd46297ea03f28fdcf702b2927,1985,0x0c23a8f194111fcd46297ea03f28fdcf702b2927,1985,0x3b83be3c6e8d713b7d6e25eaeda444c12eda5a9b,649.612847,,0x0c23a8f194111fcd46297ea03f28fdcf702b2927,5955,,0x639090cdd215010fe54c36a49bbd1604f034e1d4,61700
0x3c329470dd683617c986e4b28422e58b98d34e7a,3103.978013,0x2cec5aa7bae1191f2e7da94130aac07c37fd4860,140.062582,0x21d632e53c4961f852aa1b3de252854951f81591,620.018641,0x21c64441279c8a47a4f9199a03d8f5c628b5810d,1756.689632,0x21c64441279c8a47a4f9199a03d8f5c628b5810d,1756.689632,0x1b4971a97be2c353db4afef34c81aa09f6381744,0,0x166800b0c45c65041152fdf3c48d87053b1ddfa3,0,0x119b49a1c266c67656d098c320b697cc5ce94c43,0.007158,0x0e850de427f73fc6b472d71f0545018fbd23c165,5409,0x0e850de427f73fc6b472d71f0545018fbd23c165,5409,0x3c329470dd683617c986e4b28422e58b98d34e7a,3103.978013,,0x0e850de427f73fc6b472d71f0545018fbd23c165,16227,,0x2712027f79419c992c66cdddd56082163f400b12,59866.797
0x3dd3e6e190e5cff0856de30bf63924dabdf51264,251.429497,0x2d55a5781e9972650fa4f7fc90a6250609e23333,10190.20164,0x22cf45f2e422e51e66c45ca9980ef3fc95875dd1,61.78607,0x21d632e53c4961f852aa1b3de252854951f81591,918.690641,0x21d632e53c4961f852aa1b3de252854951f81591,918.690641,0x1ccd11be0980ed5de6e66899e53c43caaca1c9cb,5118.856,0x1a0d3367e993fe653293cf9dbee864b1f1dcaf9a,0,0x130dccc9efa338c3e5fdb2593bed55bf03777854,77.350357,0x0f3c2ec58846802ee617e45e53b38ab1b851b6c7,0,0x0f3c2ec58846802ee617e45e53b38ab1b851b6c7,0,0x3dd3e6e190e5cff0856de30bf63924dabdf51264,251.429497,,0x0f3c2ec58846802ee617e45e53b38ab1b851b6c7,0,,0x3df4e5416b90875b3bdbf7f01be6d91dd4a3eb16,58674.05864
0x3df4e5416b90875b3bdbf7f01be6d91dd4a3eb16,1045.030217,0x374534de1dfd0b0f965600d887f452f7035ea08b,437.334304,0x237ec64cc27196f6a4c16abdbb558b4c518400c2,256,0x22cf45f2e422e51e66c45ca9980ef3fc95875dd1,61.78607,0x22cf45f2e422e51e66c45ca9980ef3fc95875dd1,399.379151,0x216b32757e9596579f850aef87951c0450c87947,600,0x1b4971a97be2c353db4afef34c81aa09f6381744,0,0x13e7b3623875aa6389d05f82eb3af9776b7627a5,228.59354,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,0x3df4e5416b90875b3bdbf7f01be6d91dd4a3eb16,1045.030217,,0x1012e83da77e283910d00e9dc1af5b103d62db12,0,,0x86baf55a86754a23491037d8ba404334e6a86fa7,56967.76793
0x460e37f6b2174bbd1debf19f6ea70f86400e879f,84.144703,0x37a6156e4a6e8b60b2415af040546cf5e91699bd,7500,0x23f7c16f9d596ba80dfff3a75f18c90506ed4e8d,46.9,0x237ec64cc27196f6a4c16abdbb558b4c518400c2,256,0x231d572392b8c47e33ac36ece9071b399c76cd64,327.1,0x21c64441279c8a47a4f9199a03d8f5c628b5810d,1756.689632,0x1bb85f82b6c8893e7a3cee8ce6eeeacd4d9f8afc,789.433,0x15b458f7af474220ca05f34c22667dc70fde017e,41921.37503,0x119a0b0ab03018460ff0f9737e0ccbcc8e5f345a,2202,0x119a0b0ab03018460ff0f9737e0ccbcc8e5f345a,0,0x460e37f6b2174bbd1debf19f6ea70f86400e879f,84.144703,,0x119a0b0ab03018460ff0f9737e0ccbcc8e5f345a,4404,,0x966882f8df5b2fb91ddab764f6174dcb11165e81,55634.78796
