Claimant,Amount,Bonus,Bonus Amount,81958,
0x524a5a34e2db86255f2809ea0f994e25fab3da27,789.3745731,131.7858647,,,
0xcfded2a84c907467e03886af1b99fad2f7703431,788.1791044,131.5862816,,,
0x1e3be7d9c0e27ef5065e449ef0d9a337de8725dd,763.7105027,127.5012553,,,
0x53fe88ceb39f23db1fcd4d6beb55965f6ac1764f,752.744,125.6704008,,,
0xc622b9e04f9ffed69d63aab4f2369afca6310ab7,752.4257153,125.6172632,,,
0x9d2098fc2bc68c2ec498e1ca3afde3a301232fbe,736.6920237,122.9905278,,,
0x8bdf174a84d797147d5066a4bc28bbbac68e33c7,727.8695519,121.5176186,,,
0xd189077083dee06ace6ce65b7ca15e22e43f0b72,719.036,120.0428596,,,
0xbf00cb9a77193379c433d7e183dff109bbdf9b8c,711.9700709,118.8632047,,,
0x4280172c9dda7f6b9e820fe4ad3fb3723d4604dd,711.050567,118.7096938,,,
0xdc98f6fcd44de63bfb17b72849319dbdc4e5edef,707.3530261,118.0923903,,,
0x3b231c36f01d4a35d44292e2dbc3c4d25a5798f4,699.9996236,116.8647419,,,
0x21911723950a24cd43dec32ab33aefca2a0f8804,691.3686058,115.4237958,,,
0x15467db1098f141feb62d27c3edab9c433fa10f1,690.350199,115.2537731,,,
0x6763b1f38a089cb0057dd9db14f6f5fedc44a7b3,680.7217283,113.6463026,,,
0xd70a315fb1474eff59d2cca5730eead51b430030,677.5116988,113.1103891,,,
0xe68dc2156b68ebcd5a92a8f7499d7c1b71df3795,671.6090874,112.1249498,,,
0x54118013b3a4ee621dc4a79716c3429d2f8fd25a,664.4275446,110.9259932,,,
0x247fccbf65677405d6e8aca7a9c5c6bfa422175c,659.5,110.103341,,,
0xa57622bd59b70b38aa8b19c11b34d45f0320515f,656.206146,109.553433,,,
0xa81261d8f27afaff64ee6919ba3b0e621d37ae16,642.973,107.344163,,,
0xd8c3b4a709e15526dfec25609deee1c293e95dd2,639.10644,106.6986418,,,
0xc0682d80cb3c6bc921f3f4672f814b6b4d476a70,633.403533,105.7465431,,,
0x119b49a1c266c67656d098c320b697cc5ce94c43,630.3464166,105.2361584,,,
0x80c37d0452f9d1ec710217e8d5c5880608de5a88,629.5622785,105.1052467,,,
0x5c65efbce63fa52a2ae056aadca9e9655ea388ed,628.3944,104.9102697,,,
0x3acb5eaecfab99d01e86f7068ae7b90479fb50e9,628.2005713,104.8779101,,,
0xc708bcd450fdecc898736a61936130a065af8ed5,627.7146186,104.7967804,,,
0x0a806011a5dc36cdc482bff4b20699a348e7f47d,622.524,103.9302081,,,
0x276b5675e78d58438c340a9af34350c38765cb8a,619.7256,103.463016,,,
0xf504e7daed805f5b5437d07b5a9f6f8ecda5dedd,615.900821,102.8244702,,,
0x568d2b1791f95921494fc44ca2436f57355405b9,615.016172,102.6767783,,,
0x951b6d50d07c39b0f97a7bb2f5c1e96f07a093d3,612.8710083,102.3186438,,,
0xf78dedf28bed6c07ad42a05c322be1014e1b29c9,610.829784,101.977862,,,
0xf57d86f6bfcc76aa2c7f62616b2436c60ad397e2,610.4591095,101.915978,,,
0xd44dd2f3145151e7186ba44b99a333544ea351bb,609.757,101.798761,,,
0xda4e632a856cc8c905d1f1846bebb00124f20e1c,609.0468,101.6801933,,,
0x1a87945373aeacc84e36c2fa7dd440f04b53b9b1,608.4031977,101.5727441,,,
0xd25546cc6b71b5dc757293d2834ad2ab6038d621,608.4,101.5722102,,,
0x581c1f6429f29027a4178c131046065b2796f706,606.6535,101.2806326,,,
0x5039e2936ec2a588cad92e4edcf41a1d3a443186,606.508759,101.2564681,,,
0xb86b49afbc410cc0cc8d47207e86b73761ccbd9a,605,101.0045812,,,
0x6ccb2e1685fa0a68767ebbe64187ce48a583d9ab,603.36,100.7307837,,,
0x13bc966979b2eef992f6e63700a12cafe49deda6,602.5878557,100.6018744,,,
0x7b90a5cd39a2a44f6d5ff867d091d591473d3f13,602.4,100.5705119,,,
0xb92f6e68bc67c2645b990438facc7645ad23896a,602.4,100.5705119,,,
0xfb6f3f88d11206439db6e6d5c5277e53b866d002,602.4,100.5705119,,,
0x79178d9577e12938b5bd6042f3887850fd7efa90,602.33124,100.5590325,,,
0x3442bcafff7deaff26caad507b22c38aceb86f81,602.135,100.5262702,,,
0x60dffdb890bc456f0b0a1ec3586a0df93d22921b,601.7432812,100.4608729,,,
0x72d27669acd636b33e8f704a4eead3d9f46a1fe4,601.5174512,100.4231706,,,
0x099b8e06be2bdc25cda14b5bd843660459a01131,601.2007436,100.3702964,,,
0xad96481d8f73692da4f4c856770dcebfc1a1b8d1,601.1,100.3534773,,,
0x912bc5696ff1acb85bb7eb2bfad26853d7b5a555,600.69,100.2850279,,,
0x744db0e7e8b57ef9aea0550f9d08410c323ed848,600.5585048,100.2630748,,,
0x821acf4602b9d57da21dee0c3db45e71143c0b45,600.22488,100.2073762,,,
0x340c677d956dd1c84d5a50b3fdb7d4e94e654ab3,600.0000469,100.1698404,,,
0x14bf5eb0d0afa0259063710d35d6b800474cd08d,600,100.1698326,,,
0x500ccbc28a59c11b1d03453de21fa71f70471aa4,600,100.1698326,,,
0x66e07a14b65aba7f94bdbdcf1eeb8efd5fd8ac9b,600,100.1698326,,,
0x796005b1b16aa4f75e05355ddfc86cd32f889a96,600,100.1698326,,,
0x8e842a7cbae7e76dfb3a2b3e9a60134794ffec2d,600,100.1698326,,,
0xe637ffa00f8a4ed88de446d86366aabc2fb50c90,600,100.1698326,,,
0xe9b79337f917a16db7336b1b70b1c769f18f1a9d,564.3005773,94.20982393,,,
0x55d08082aef6c7853a976f88ce9e419f74c67786,559.104,93.3422568,,,
0x45ccefc882e12c064d5f711c5ba94ef994703b58,529.8152698,88.45251147,,,
0x173b391272a972727b6de336cb44fc1588e7eac5,526.9,87.96580799,,,
0xf88bc01cd91cf74ea321fe1cf14f09f6d951dd7a,523.7975101,87.44784816,,,
0x844d584d166f3855a28daad86745223b6930d175,516.4383562,86.21923947,,,
0x88df446346eb051b8d19a47951141177f57d4329,510.000422,85.14442816,,,
0x34644e4320b519ce3e6c7844cdecf22eb0598c88,507.8685058,84.78850534,,,
0xe0c72c25b83de16cf4d9bac0eb4909dfebe6a66d,503.8938078,84.12493062,,,
0xefb89cf6c608bf7cde59e0e0ec10734cc42894d5,502.182604,83.83924562,,,
0xaa0f61e8e87bff8377049033679bd458da180aed,501.3323323,83.697293,,,
0xaf665acf3bafc3b6c93ad36fca345e8fd80ce043,501.034355,83.64754577,,,
0x99b66d5c7be499abd65bd10ec98647350ded0487,500.4040567,83.54231765,,,
0x015edbdd1dede3e011a694ecf48ca933661e0213,500,83.47486049,,,
0x24277b98c5e11443074acd60d076c730dd7a2160,500,83.47486049,,,
0x6072845242f0246670bc0085eefa0b5f833d847e,496.0007037,82.80717909,,,
0x1f9be850f7a12b3e485544034cb76e6e6229864c,485.3609306,81.03087194,,,
0x56a083283bec6001719c7fe02b7e8a0d56c25236,464.2595818,77.50800765,,,
0x1d6f73e854b7e3b889d9d6e7097a6ffe344f7bf0,457.8760542,76.44227949,,,
0xe85b0e454d06f7106b4b642941a0a7ee5e262681,457.0731229,76.30823034,,,
0x175e62e73dadcfa666cb0bb6473e2977dc05307f,443.1290803,73.98027632,,,
0xb027bcf5287240c030fceafa1046a2ca50c4364f,431.2084603,71.99013213,,,
0x8e9701f17f31fddd7a22555843ad2f9c02314ee0,430.9029456,71.93912654,,,
0x7f697eeb10c7131edc632fc1721066de79c89b48,427.428,71.35898534,,,
0xa8b2942a48f154ee56d08d4eeb66e3a63ab6a316,420,70.11888281,,,
0x4637ad5c0fd928fdbb6468e8a15f9471b285e66c,418.6989532,69.90167341,,,
0x93935316db093a8665e91ee932591f76bf8e5295,417.5615171,69.71177877,,,
0x1f83cfd5fca32b215c1c066e21237eacb28355dd,416.81,69.5863132,,,
0x7f63dea5b6d233a3a3a240a1100f23320c2916fa,415.3469757,69.34206171,,,
